   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      1170   9.0761977             64   422.32378     -654.49453      9.0761977      9.0761977      9.0761977      133267.84      137708.2       131560.61      130534.7     
      1180   9.0762016             64   410.27564     -654.41437      9.0762016      9.0762016      9.0762016      145575.31      147616.91      146679.82      142429.19    
      1190   9.0762056             64   424.57672     -654.5483       9.0762056      9.0762056      9.0762056      142722.16      141252.87      142090.11      144823.49    
      1200   9.0762096             64   437.03036     -654.67273      9.0762096      9.0762096      9.0762096      133248.67      132848.49      134048.33      132849.18    
      1210   9.0762136             64   429.67977     -654.61829      9.0762136      9.0762136      9.0762136      136739.63      138377.91      143504.38      128336.59    
      1220   9.0762177             64   415.82259     -654.50674      9.0762177      9.0762177      9.0762177      153140.57      154979.13      160648.41      143794.18    
      1230   9.0762218             64   417.51953     -654.5294       9.0762218      9.0762218      9.0762218      152723.55      156249.59      157706.76      144214.29    
      1240   9.0762259             64   466.62173     -654.94916      9.0762259      9.0762259      9.0762259      146562.24      149312.28      146961.96      143412.48    
      1250   9.0762301             64   465.07882     -654.91508      9.0762301      9.0762301      9.0762301      151710.49      155339.62      146617.09      153174.75    
      1260   9.0762343             64   473.01894     -654.97221      9.0762343      9.0762343      9.0762343      152746.26      156645.36      148398.59      153194.82    
      1270   9.0762385             64   436.47593     -654.70058      9.0762385      9.0762385      9.0762385      160459.05      163668.86      157174.63      160533.67    
      1280   9.0762428             64   419.06017     -654.55837      9.0762428      9.0762428      9.0762428      158168.55      166793.84      150681.23      157030.58    
      1290   9.0762471             64   459.98106     -654.88         9.0762471      9.0762471      9.0762471      149999.13      160242.93      142496.47      147258       
      1300   9.0762515             64   463.7595      -654.89917      9.0762515      9.0762515      9.0762515      143913.7       151595.11      139815.96      140330.02    
      1310   9.0762559             64   452.37261     -654.80266      9.0762559      9.0762559      9.0762559      149590.29      154367.44      146493.44      147909.98    
      1320   9.0762603             64   411.61639     -654.45122      9.0762603      9.0762603      9.0762603      166074.18      167528.68      162603.12      168090.75    
      1330   9.0762648             64   467.66453     -654.89069      9.0762648      9.0762648      9.0762648      162543         159432.87      162537.69      165658.45    
      1340   9.0762694             64   481.0496      -655.029        9.0762694      9.0762694      9.0762694      144867.64      144406.43      143361.47      146835.02    
      1350   9.0762739             64   425.48566     -654.60492      9.0762739      9.0762739      9.0762739      146482.47      147752.19      143062.55      148632.66    
      1360   9.0762785             64   449.2289      -654.78418      9.0762785      9.0762785      9.0762785      157956.13      157321.09      156401.86      160145.43    
      1370   9.0762831             64   410.60274     -654.44685      9.0762831      9.0762831      9.0762831      166227.28      169186.37      164012.47      165483       
      1380   9.0762878             64   480.19218     -654.99627      9.0762878      9.0762878      9.0762878      159802.21      160990.12      160272.53      158143.98    
      1390   9.0762925             64   448.47395     -654.74799      9.0762925      9.0762925      9.0762925      165314.03      162595.54      161238.32      172108.24    
      1400   9.0762973             64   506.26633     -655.20929      9.0762973      9.0762973      9.0762973      158786.47      158007.48      148838.29      169513.64    
      1410   9.0763021             64   446.6369      -654.76314      9.0763021      9.0763021      9.0763021      160301.96      163770.44      152280.61      164854.83    
      1420   9.0763069             64   472.36084     -654.9732       9.0763069      9.0763069      9.0763069      167930.59      170881.6       159466.73      173443.44    
      1430   9.0763118             64   478.12488     -654.99719      9.0763118      9.0763118      9.0763118      169336.38      168337.47      162977.06      176694.6     
      1440   9.0763168             64   415.4471      -654.52599      9.0763168      9.0763168      9.0763168      166608.23      163186.07      167820.44      168818.19    
      1450   9.0763217             64   475.56912     -655.01623      9.0763217      9.0763217      9.0763217      160348.88      160916.95      159302.58      160827.12    
      1460   9.0763267             64   473.11228     -655.00057      9.0763267      9.0763267      9.0763267      152946.04      153220.85      148487.85      157129.41    
      1470   9.0763318             64   486.68939     -655.12217      9.0763318      9.0763318      9.0763318      148005.6       147928.96      138341.51      157746.33    
      1480   9.0763369             64   493.80031     -655.15533      9.0763369      9.0763369      9.0763369      166486.39      169023.29      158975.1       171460.78    
      1490   9.076342              64   457.45394     -654.87374      9.076342       9.076342       9.076342       199981.22      211336.01      189495.08      199112.58    
      1500   9.0763472             64   456.10987     -654.87115      9.0763472      9.0763472      9.0763472      196812.45      210736.93      182929.23      196771.18    
      1510   9.0763524             64   442.12359     -654.76905      9.0763524      9.0763524      9.0763524      174655.19      186549.85      160178.72      177237       
      1520   9.0763577             64   480.51391     -655.1026       9.0763577      9.0763577      9.0763577      155813.43      166996.48      146584.84      153858.97    
      1530   9.076363              64   453.29741     -654.85856      9.076363       9.076363       9.076363       167978.51      182092.22      164085.55      157757.77    
      1540   9.0763683             64   453.99336     -654.86827      9.0763683      9.0763683      9.0763683      185685.56      197129.5       185700.86      174226.33    
      1550   9.0763737             64   504.28526     -655.27952      9.0763737      9.0763737      9.0763737      181531.13      188513.87      180156.36      175923.17    
      1560   9.0763792             64   494.15692     -655.212        9.0763792      9.0763792      9.0763792      178842.01      184240.55      179070.7       173214.76    
      1570   9.0763847             64   428.04677     -654.68138      9.0763847      9.0763847      9.0763847      181694.76      188265.81      178947.57      177870.91    
      1580   9.0763902             64   458.06108     -654.91355      9.0763902      9.0763902      9.0763902      176033.68      183701.76      170325.74      174073.53    
      1590   9.0763958             64   512.632       -655.32651      9.0763958      9.0763958      9.0763958      173310.93      177544.8       164224.08      178163.92    
      1600   9.0764014             64   595.44624     -655.95979      9.0764014      9.0764014      9.0764014      168576.82      171941.81      160666.35      173122.32    
      1610   9.0764071             64   501.61163     -655.1992       9.0764071      9.0764071      9.0764071      178911.25      180436.39      168683.88      187613.49    
      1620   9.0764128             64   498.1172      -655.17895      9.0764128      9.0764128      9.0764128      194293.83      196849.99      180110.91      205920.6     
      1630   9.0764185             64   482.89195     -655.1017       9.0764185      9.0764185      9.0764185      190369.49      191011.3       179882.38      200214.78    
      1640   9.0764244             64   569.06716     -655.81669      9.0764244      9.0764244      9.0764244      169652.42      167863.44      162109.56      178984.27    
      1650   9.0764302             64   536.78186     -655.49992      9.0764302      9.0764302      9.0764302      161994.43      158017.67      152395.93      175569.69    
      1660   9.0764361             64   496.04565     -655.20583      9.0764361      9.0764361      9.0764361      166809.04      161699.31      166442.87      172284.95    
      1670   9.076442              64   445.72431     -654.80155      9.076442       9.076442       9.076442       179706.08      177034.54      180847.15      181236.54    
      1680   9.076448              64   483.74282     -655.12608      9.076448       9.076448       9.076448       184463.12      183799.91      181661.37      187928.1     
      1690   9.076454              64   503.12082     -655.28379      9.076454       9.076454       9.076454       184974.96      183586.62      183859.33      187478.91    
      1700   9.0764601             64   540.43555     -655.60388      9.0764601      9.0764601      9.0764601      184100.55      181250.07      183179.61      187871.98    
      1710   9.0764662             64   429.50928     -654.70022      9.0764662      9.0764662      9.0764662      184680.79      179352         182028.64      192661.74    
      1720   9.0764724             64   474.15362     -655.05991      9.0764724      9.0764724      9.0764724      177854.03      173733.79      171728.03      188100.29    
      1730   9.0764786             64   492.12306     -655.20178      9.0764786      9.0764786      9.0764786      172461.9       176992.36      158847.28      181546.07    
      1740   9.0764849             64   461.093       -654.96807      9.0764849      9.0764849      9.0764849      161557.99      169167.7       145145.97      170360.29    
      1750   9.0764912             64   476.4631      -655.11221      9.0764912      9.0764912      9.0764912      146490.35      150918.76      133254.72      155297.57    
