   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      6100   9.2398327             64   312.67085     -470.65737      9.2398327      9.2398327      9.2398327     -3511.9449     -683.97027     -4196.273      -5655.5914    
      6200   9.2398275             64   338.05819     -470.57938      9.2398275      9.2398275      9.2398275     -3829.3688     -2791.0824     -4060.1        -4636.9242    
      6300   9.2398222             64   386.19644     -470.46769      9.2398222      9.2398222      9.2398222     -2322.2675     -1128.5215     -2767.2712     -3071.0098    
      6400   9.2398168             64   384.64062     -470.43437      9.2398168      9.2398168      9.2398168     -2091.0715     -1432.8579     -3613.8146     -1226.5419    
      6500   9.2398114             64   332.82877     -470.24784      9.2398114      9.2398114      9.2398114     -3117.6136     -4115.6074     -1739.8476     -3497.3859    
      6600   9.2398059             64   317.19193     -470.39379      9.2398059      9.2398059      9.2398059     -3372.3225     -1687.9868     -5794.4946     -2634.4859    
      6700   9.2398004             64   309.00639     -470.53846      9.2398004      9.2398004      9.2398004     -3254.886      -2337.503      -2877.3225     -4549.8326    
      6800   9.2397947             64   243.07296     -470.11361      9.2397947      9.2397947      9.2397947     -3645.8662     -680.75511     -3731.4551     -6525.3884    
      6900   9.239789              64   314.22032     -470.42095      9.239789       9.239789       9.239789      -2821.0697     -1813.1373     -4743.9009     -1906.1708    
      7000   9.2397832             64   343.25712     -470.13941      9.2397832      9.2397832      9.2397832     -1426.0017      1145.225      -3428.7192     -1994.5107    
      7100   9.2397773             64   357.90478     -470.21779      9.2397773      9.2397773      9.2397773     -1131.9485     -579.63909     -2396.5959     -419.61061    
      7200   9.2397714             64   374.70678     -470.78396      9.2397714      9.2397714      9.2397714     -2663.7504     -3252.7044     -6454.8464      1716.2996    
      7300   9.2397655             64   331.97714     -470.81669      9.2397655      9.2397655      9.2397655     -3660.2832     -2766.481      -5518.3864     -2695.9824    
      7400   9.2397594             64   292.82649     -470.46558      9.2397594      9.2397594      9.2397594     -3309.4891     -3712.9306     -4164.8542     -2050.6824    
      7500   9.2397532             64   292.73579     -470.22733      9.2397532      9.2397532      9.2397532     -3196.909      -3898.5221     -4796.3849     -895.82003    
      7600   9.239747              64   333.21613     -470.3236       9.239747       9.239747       9.239747      -2925.1353     -3996.5826     -1469.0325     -3309.7906    
      7700   9.2397407             64   294.18175     -469.84647      9.2397407      9.2397407      9.2397407     -3423.8542     -2977.0863     -6333.4987     -960.9774     
      7800   9.2397344             64   305.86834     -469.8309       9.2397344      9.2397344      9.2397344     -1788.068      -3511.9282     -1180.8633     -671.41267    
      7900   9.239728              64   293.76281     -470.04977      9.239728       9.239728       9.239728      -2736.2398     -5050.8803     -2687.8259     -470.01307    
      8000   9.2397215             64   278.26589     -470.36833      9.2397215      9.2397215      9.2397215     -3748.7862     -4355.0767     -5865.6516     -1025.6304    
      8100   9.239715              64   324.55405     -470.80398      9.239715       9.239715       9.239715      -3282.9146     -4107.9154     -4664.4492     -1076.3792    
      8200   9.2397083             64   303.91101     -470.33157      9.2397083      9.2397083      9.2397083     -2601.1157     -2457.2795     -4928.3025     -417.76521    
      8300   9.2397016             64   297.98276     -469.74635      9.2397016      9.2397016      9.2397016     -1760.8637      1231.7273     -6958.1515      443.83315    
      8400   9.2396949             64   354.26065     -470.24588      9.2396949      9.2396949      9.2396949     -1730.8626      2336.219      -3859.7688     -3669.0381    
      8500   9.2396881             64   253.16427     -469.70801      9.2396881      9.2396881      9.2396881     -2304.3838      2027.3327     -6473.639      -2466.8451    
      8600   9.2396812             64   233.27814     -469.74596      9.2396812      9.2396812      9.2396812     -1846.4613      1833.8617     -3516.742      -3856.5035    
      8700   9.2396743             64   262.29024     -470.03886      9.2396743      9.2396743      9.2396743     -3122.2784      3225.762      -6105.5304     -6487.0667    
      8800   9.2396673             64   226.05475     -469.75462      9.2396673      9.2396673      9.2396673     -2813.59       -497.78196     -3529.7155     -4413.2724    
