   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      7200   9.2197254             64   195.57552     -470.70698      9.2197254      9.2197254      9.2197254      8417.3439      9192.1012      7739.4959      8320.4347    
      7300   9.2198442             64   187.02368     -470.71363      9.2198442      9.2198442      9.2198442      9180.8559      9620.3865      9138.2745      8783.9068    
      7400   9.219985              64   200.34638     -470.86151      9.219985       9.219985       9.219985       8983.5502      9778.4231      7877.9959      9294.2315    
      7500   9.2201473             64   185.0155      -470.72931      9.2201473      9.2201473      9.2201473      8268.3243      9179.9837      7324.9786      8300.0107    
      7600   9.2203309             64   216.05125     -470.93182      9.2203309      9.2203309      9.2203309      8277.9974      9002.2237      9051.591       6780.1776    
      7700   9.2205356             64   243.60854     -471.13934      9.2205356      9.2205356      9.2205356      7403.1548      7188.3645      5820.2301      9200.8697    
      7800   9.2207613             64   231.35797     -471.01185      9.2207613      9.2207613      9.2207613      7433.2703      7178.0592      5507.3617      9614.3899    
      7900   9.2210077             64   207.36206     -470.83325      9.2210077      9.2210077      9.2210077      8113.0581      9984.948       6184.5433      8169.683     
      8000   9.2212743             64   229.29447     -470.98723      9.2212743      9.2212743      9.2212743      7364.5218      8910.2528      4045.9193      9137.3934    
      8100   9.2215608             64   208.68389     -470.88571      9.2215608      9.2215608      9.2215608      7266.2013      8815.997       3998.3362      8984.2706    
      8200   9.2218664             64   189.42676     -470.71606      9.2218664      9.2218664      9.2218664      7797.8418      7262.0028      5723.8472      10407.675    
      8300   9.2221907             64   204.12843     -470.79389      9.2221907      9.2221907      9.2221907      7062.0934      8243.2592      3707.8597      9235.1614    
      8400   9.2225331             64   222.03055     -470.91483      9.2225331      9.2225331      9.2225331      6089.5313      9710.2479      3423.4716      5134.8744    
      8500   9.2228931             64   242.68789     -471.08822      9.2228931      9.2228931      9.2228931      6042.5417      7267.0942      4969.6285      5890.9024    
      8600   9.22327               64   219.81679     -470.88813      9.22327        9.22327        9.22327        6658.6998      7681.4693      5080.0577      7214.5724    
      8700   9.2236634             64   208.6546      -470.78516      9.2236634      9.2236634      9.2236634      5093.113       5491.5322      3741.3813      6046.4256    
      8800   9.2240725             64   226.07374     -470.91393      9.2240725      9.2240725      9.2240725      5425.0062      5268.1531      6506.6263      4500.2391    
      8900   9.2244968             64   207.50669     -470.72195      9.2244968      9.2244968      9.2244968      5460.3846      5239.6221      5524.2603      5617.2715    
      9000   9.2249353             64   184.1343      -470.55138      9.2249353      9.2249353      9.2249353      4995.4549      6768.2209      5609.2734      2608.8705    
      9100   9.2253873             64   212.60566     -470.71559      9.2253873      9.2253873      9.2253873      5231.0891      5823.7377      7931.1854      1938.3442    
      9200   9.2258526             64   216.92151     -470.68452      9.2258526      9.2258526      9.2258526      5161.5903      5239.6613      4747.4441      5497.6654    
      9300   9.2263307             64   250.08465     -470.89741      9.2263307      9.2263307      9.2263307      4316.9285      4822.1952      5347.9085      2780.6818    
      9400   9.226821              64   247.38593     -470.85616      9.226821       9.226821       9.226821       4184.1243      4008.9732      4229.536       4313.8638    
      9500   9.2273227             64   245.24073     -470.82271      9.2273227      9.2273227      9.2273227      4064.8394      3537.8935      3550.5149      5106.1098    
      9600   9.2278349             64   261.61609     -470.94219      9.2278349      9.2278349      9.2278349      3296.8366      4512.1927      3541.1909      1837.1261    
      9700   9.2283567             64   249.63848     -470.91241      9.2283567      9.2283567      9.2283567      2959.1765      3716.0351      1778.5222      3382.9723    
      9800   9.2288869             64   229.91476     -470.76233      9.2288869      9.2288869      9.2288869      3011.816       2179.0042      2685.5219      4170.9221    
      9900   9.2294244             64   217.28077     -470.67611      9.2294244      9.2294244      9.2294244      2734.6934      3196.3741      964.83161      4042.8745    
     10000   9.229968              64   242.24067     -470.82802      9.229968       9.229968       9.229968       1845.7762      2847.3119     -2253.1439      4943.1606    
     10100   9.2305169             64   258.2629      -471.01415      9.2305169      9.2305169      9.2305169      1061.2262      1534.6056     -951.68052      2600.7534    
     10200   9.23107               64   257.10725     -471.00021      9.23107        9.23107        9.23107        445.80068      429.65275     -1019.5122      1927.2615    
     10300   9.2316264             64   250.73709     -470.91365      9.2316264      9.2316264      9.2316264      898.18904      488.09388      610.78378      1595.6895    
     10400   9.232185              64   250.46805     -470.94112      9.232185       9.232185       9.232185      -42.428336      312.50581     -393.19051     -46.600305    
     10500   9.2327446             64   274.61706     -471.17332      9.2327446      9.2327446      9.2327446     -1340.5002     -1444.7495     -1054.3139     -1522.4373    
     10600   9.2333039             64   248.19694     -470.9968       9.2333039      9.2333039      9.2333039     -688.96465     -1330.2382      214.34573     -951.00144    
     10700   9.2338619             64   206.60513     -470.65761      9.2338619      9.2338619      9.2338619     -753.97448     -1813.6676     -411.60888     -36.646989    
     10800   9.2344174             64   234.75797     -470.84896      9.2344174      9.2344174      9.2344174     -1221.1213      581.53925     -1837.3451     -2407.558     
     10900   9.2349698             64   268.94101     -471.13148      9.2349698      9.2349698      9.2349698     -2134.0399     -2325.5334     -802.14415     -3274.442     
     11000   9.2355179             64   249.84974     -471.01041      9.2355179      9.2355179      9.2355179     -2843.2287     -2740.3688     -2666.1449     -3123.1723    
     11100   9.2360609             64   237.48617     -470.9351       9.2360609      9.2360609      9.2360609     -2534.885      -3241.3468     -1466.8579     -2896.4503    
     11200   9.2365975             64   229.02209     -470.89175      9.2365975      9.2365975      9.2365975     -2550.9659     -848.44512     -4582.518      -2221.9347    
     11300   9.2371266             64   249.48865     -471.10614      9.2371266      9.2371266      9.2371266     -3231.5795     -991.0594      -4271.9131     -4431.7661    
     11400   9.2376474             64   259.93426     -471.10926      9.2376474      9.2376474      9.2376474     -4042.0922     -5191.7976     -2313.4172     -4621.0618    
     11500   9.2381591             64   232.04041     -470.8294       9.2381591      9.2381591      9.2381591     -3581.3745     -1662.0665     -3714.9203     -5367.1366    
     11600   9.2386613             64   225.16279     -470.77569      9.2386613      9.2386613      9.2386613     -3958.9778     -1836.4604     -6414.7169     -3625.756     
     11700   9.2391526             64   225.30272     -470.78351      9.2391526      9.2391526      9.2391526     -4623.1693     -1798.0539     -6907.6783     -5163.7758    
     11800   9.2396324             64   242.3827      -470.92745      9.2396324      9.2396324      9.2396324     -4968.4328     -2389.8167     -5640.4894     -6874.9923    
     11900   9.2400997             64   239.0414      -470.89121      9.2400997      9.2400997      9.2400997     -5559.969      -4848.2494     -6219.7302     -5611.9274    
     12000   9.2405538             64   222.1564      -470.71797      9.2405538      9.2405538      9.2405538     -5416.4257     -2044.0886     -7816.735      -6388.4536    
     12100   9.2409939             64   256.52408     -470.94487      9.2409939      9.2409939      9.2409939     -6005.102      -4913.4647     -7105.1167     -5996.7246    
     12200   9.2414193             64   269.1312      -471.07654      9.2414193      9.2414193      9.2414193     -7013.3967     -5317.1139     -6834.0156     -8889.0607    
     12300   9.2418295             64   252.41674     -470.95677      9.2418295      9.2418295      9.2418295     -6157.0556     -5119.8359     -7445.0465     -5906.2843    
     12400   9.2422234             64   246.64004     -470.89671      9.2422234      9.2422234      9.2422234     -5948.7476     -5236.0718     -6996.5147     -5613.6562    
     12500   9.2426004             64   218.76179     -470.69855      9.2426004      9.2426004      9.2426004     -6983.9719     -5528.5388     -9628.5048     -5794.872     
     12600   9.2429595             64   258.93563     -471.04828      9.2429595      9.2429595      9.2429595     -7227.7764     -8338.6018     -7703.4547     -5641.2727    
     12700   9.2432999             64   252.13792     -470.98448      9.2432999      9.2432999      9.2432999     -7624.5575     -7640.0256     -7054.6001     -8179.0468    
     12800   9.2436212             64   229.48732     -470.82678      9.2436212      9.2436212      9.2436212     -7978.1427     -9618.6376     -8546.191      -5769.5994    
     12900   9.2439223             64   223.06636     -470.7915       9.2439223      9.2439223      9.2439223     -7424.0369     -8509.616      -7359.6307     -6402.8639    
     13000   9.2442027             64   251.27319     -470.95394      9.2442027      9.2442027      9.2442027     -8363.9389     -10001.894     -6605.9028     -8484.0203    
     13100   9.2444621             64   257.36008     -470.98082      9.2444621      9.2444621      9.2444621     -9015.8491     -9945.217      -7706.335      -9395.9954    
     13200   9.2447005             64   251.40645     -470.94293      9.2447005      9.2447005      9.2447005     -8544.962      -9305.5063     -7790.5835     -8538.7964    
     13300   9.2449172             64   224.38218     -470.60013      9.2449172      9.2449172      9.2449172     -7329.4461     -6982.0688     -7036.8839     -7969.3856    
     13400   9.2451126             64   203.91666     -470.43805      9.2451126      9.2451126      9.2451126     -7140.4081     -6604.6721     -8033.8114     -6782.7407    
     13500   9.2452862             64   222.71316     -470.55565      9.2452862      9.2452862      9.2452862     -7821.8941     -10748.052     -8290.7557     -4426.8744    
     13600   9.2454376             64   244.43966     -470.73608      9.2454376      9.2454376      9.2454376     -8000.8306     -7045.7757     -9121.436      -7835.2802    
     13700   9.2455665             64   258.30187     -470.8738       9.2455665      9.2455665      9.2455665     -8699.1571     -11232.718     -8976.172      -5888.5814    
     13800   9.2456726             64   251.95575     -470.83653      9.2456726      9.2456726      9.2456726     -9153.3958     -8869.8127     -11136.298     -7454.0766    
     13900   9.2457555             64   275.76494     -471.04561      9.2457555      9.2457555      9.2457555     -8948.861      -9478.239      -9261.2234     -8107.1207    
     14000   9.2458153             64   298.19333     -471.15468      9.2458153      9.2458153      9.2458153     -9610.9606     -9554.335      -11375.466     -7903.0814    
     14100   9.2458521             64   260.12032     -470.83855      9.2458521      9.2458521      9.2458521     -9065.6707     -10446.711     -10422.514     -6327.7871    
     14200   9.2458659             64   239.91854     -470.60867      9.2458659      9.2458659      9.2458659     -8249.0973     -6189.9656     -10178.62      -8378.7061    
     14300   9.245857              64   260.86852     -470.80609      9.245857       9.245857       9.245857      -8564.7934     -8594.0006     -8922.9219     -8177.4577    
     14400   9.2458253             64   236.30499     -470.59456      9.2458253      9.2458253      9.2458253     -8638.4685     -7708.1344     -9773.541      -8433.73      
     14500   9.2457708             64   254.78325     -470.62304      9.2457708      9.2457708      9.2457708     -8087.3113     -6451.7899     -7979.4826     -9830.6615    
     14600   9.245694              64   284.19506     -470.86513      9.245694       9.245694       9.245694      -8104.5991     -9479.6355     -7304.6848     -7529.4769    
     14700   9.2455953             64   281.76315     -470.78582      9.2455953      9.2455953      9.2455953     -8454.4435     -9729.2916     -6505.1806     -9128.8582    
     14800   9.245475              64   258.20194     -470.53415      9.245475       9.245475       9.245475      -6734.8021     -3961.7337     -6830.6972     -9411.9753    
     14900   9.2453338             64   294.30955     -470.79261      9.2453338      9.2453338      9.2453338     -7851.0651     -5562.2876     -9135.0782     -8855.8296    
     15000   9.2451723             64   284.81886     -470.66437      9.2451723      9.2451723      9.2451723     -7813.7931     -8388.7923     -6790.0994     -8262.4875    
     15100   9.244991              64   272.40296     -470.56672      9.244991       9.244991       9.244991      -7628.7657     -5335.9784     -8457.4022     -9092.9166    
     15200   9.2447904             64   259.84912     -470.45329      9.2447904      9.2447904      9.2447904     -7689.342      -8055.7576     -9665.9602     -5346.3083    
     15300   9.244571              64   267.96314     -470.56114      9.244571       9.244571       9.244571      -7612.9294     -6733.7316     -9090.965      -7014.0916    
     15400   9.2443329             64   278.62275     -470.59524      9.2443329      9.2443329      9.2443329     -7302.6907     -4692.6232     -8272.0713     -8943.3776    
     15500   9.2440767             64   296.35584     -470.71154      9.2440767      9.2440767      9.2440767     -6273.0565     -4873.558      -8404.2647     -5541.3469    
     15600   9.2438031             64   281.57619     -470.61093      9.2438031      9.2438031      9.2438031     -6281.4192     -5062.8697     -8859.6249     -4921.7631    
     15700   9.2435124             64   271.90321     -470.49823      9.2435124      9.2435124      9.2435124     -5614.9453     -5595.4494     -5719.1157     -5530.2708    
     15800   9.2432049             64   248.58343     -470.3882       9.2432049      9.2432049      9.2432049     -5531.8141     -4799.1765     -7010.0611     -4786.2047    
     15900   9.2428811             64   254.45578     -470.44475      9.2428811      9.2428811      9.2428811     -5826.1947     -7610.1753     -7247.6959     -2620.7129    
     16000   9.2425412             64   268.17681     -470.58466      9.2425412      9.2425412      9.2425412     -6309.6781     -4704.7016     -6974.3435     -7249.9891    
     16100   9.242186              64   267.74833     -470.46418      9.242186       9.242186       9.242186      -5302.9688     -3411.46       -6966.781      -5530.6653    
     16200   9.2418167             64   267.51634     -470.36917      9.2418167      9.2418167      9.2418167     -4859.1928     -2588.877      -7070.2852     -4918.4163    
     16300   9.2414345             64   253.07753     -470.20983      9.2414345      9.2414345      9.2414345     -3659.9766     -4819.0179     -4806.3414     -1354.5704    
     16400   9.2410404             64   296.08116     -470.54363      9.2410404      9.2410404      9.2410404     -4251.6355     -3349.6551     -5587.3141     -3817.9373    
     16500   9.240635              64   270.9915      -470.26493      9.240635       9.240635       9.240635      -3560.232      -6396.8744     -150.32389     -4133.4978    
     16600   9.2402195             64   296.96975     -470.47337      9.2402195      9.2402195      9.2402195     -3463.405      -4751.7389     -2813.4443     -2825.0318    
     16700   9.2397946             64   297.04004     -470.52667      9.2397946      9.2397946      9.2397946     -3973.6084     -3335.5385     -5609.4494     -2975.8373    
     16800   9.2393612             64   280.37046     -470.39398      9.2393612      9.2393612      9.2393612     -2901.4496     -3158.0796     -2765.7086     -2780.5607    
     16900   9.2389198             64   271.90428     -470.29263      9.2389198      9.2389198      9.2389198     -1556.4086     -3483.7491     -2729.4688      1543.9921    
     17000   9.2384716             64   272.07156     -470.25352      9.2384716      9.2384716      9.2384716     -1744.6601      779.96692     -3197.8523     -2816.095     
     17100   9.2380174             64   275.47994     -470.29111      9.2380174      9.2380174      9.2380174     -2417.0884     -3485.8404     -2788.3656     -977.05919    
     17200   9.2375578             64   270.78396     -470.17505      9.2375578      9.2375578      9.2375578     -1239.9712     -3536.2091     -1539.3462      1355.6418    
     17300   9.2370945             64   285.58227     -470.31855      9.2370945      9.2370945      9.2370945     -1779.3513     -3907.8118     -678.71573     -751.52643    
     17400   9.2366282             64   319.35761     -470.55536      9.2366282      9.2366282      9.2366282     -2911.0432     -4550.0139     -1830.2074     -2352.9084    
     17500   9.2361595             64   293.21916     -470.36272      9.2361595      9.2361595      9.2361595     -657.28804     -2349.4193     -140.2973       517.85251    
     17600   9.2356894             64   304.43458     -470.35795      9.2356894      9.2356894      9.2356894      446.2962      -2966.1126      2342.7105      1962.2907    
     17700   9.2352194             64   351.42158     -470.66538      9.2352194      9.2352194      9.2352194     -544.00266      805.40312     -107.48262     -2329.9285    
     17800   9.2347506             64   298.70458     -470.23962      9.2347506      9.2347506      9.2347506      1169.6934      1766.3112      2011.3821     -268.61301    
     17900   9.2342837             64   283.64905     -470.08271      9.2342837      9.2342837      9.2342837      1609.1433      265.21052      3152.0397      1410.1798    
     18000   9.2338198             64   319.877       -470.40297      9.2338198      9.2338198      9.2338198      154.76618      1934.7255      1290.0025     -2760.4294    
     18100   9.2333595             64   310.33433     -470.30614      9.2333595      9.2333595      9.2333595      1149.2151      4173.5841      410.12684     -1136.0657    
     18200   9.2329044             64   247.79294     -469.82834      9.2329044      9.2329044      9.2329044      3079.3375      771.21001      2460.5465      6006.256     
     18300   9.2324549             64   308.27814     -470.2692       9.2324549      9.2324549      9.2324549      2066.1121      3102.7294      85.713302      3009.8937    
     18400   9.232012              64   275.92515     -470.05302      9.232012       9.232012       9.232012       2978.1296      2428.9881      1926.754       4578.6467    
     18500   9.2315764             64   282.61259     -470.1278       9.2315764      9.2315764      9.2315764      2562.519       3027.7206      3787.2493      872.58699    
     18600   9.2311486             64   353.1517      -470.77427      9.2311486      9.2311486      9.2311486      2873.1417      1323.9677      4784.9068      2510.5508    
     18700   9.2307289             64   327.63728     -470.58022      9.2307289      9.2307289      9.2307289      2373.1522      2513.141       1944.8331      2661.4824    
     18800   9.2303184             64   285.61257     -470.18934      9.2303184      9.2303184      9.2303184      3486.9184      3578.8401      2086.0266      4795.8886    
     18900   9.2299175             64   335.99715     -470.64059      9.2299175      9.2299175      9.2299175      3262.5877      3673.2393      3531.5892      2582.9347    
     19000   9.2295272             64   290.81543     -470.2348       9.2295272      9.2295272      9.2295272      3708.6032      926.09228      2148.4213      8051.2961    
     19100   9.2291478             64   315.34074     -470.54644      9.2291478      9.2291478      9.2291478      3351.9182      4656.5948      2430.0915      2969.0685    
     19200   9.2287799             64   296.05769     -470.42575      9.2287799      9.2287799      9.2287799      3412.4873      5924.2703      2066.089       2247.1027    
     19300   9.2284242             64   275.28936     -470.24625      9.2284242      9.2284242      9.2284242      4191.3447      2160.6233      3947.5168      6465.8939    
     19400   9.2280812             64   299.31314     -470.45414      9.2280812      9.2280812      9.2280812      4530.9609      2004.664       5986.8951      5601.3235    
     19500   9.2277518             64   322.98944     -470.58354      9.2277518      9.2277518      9.2277518      5461.1987      2561.8439      5218.4797      8603.2726    
