   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
     11400   9.2325932             64   212.06808     -470.82379      9.2325932      9.2325932      9.2325932     -971.79801     -2317.9072     -1011.9099      414.4231     
     11500   9.232328              64   228.19241     -470.86319      9.232328       9.232328       9.232328      -911.96178     -2713.8639      1039.914      -1061.9355    
     11600   9.2320618             64   243.63924     -471.03197      9.2320618      9.2320618      9.2320618     -649.84469     -39.156653      352.16645     -2262.5439    
     11700   9.2317951             64   229.57029     -470.8837       9.2317951      9.2317951      9.2317951      176.56854      3205.6154     -221.70662     -2454.2032    
     11800   9.2315285             64   223.57025     -470.79805      9.2315285      9.2315285      9.2315285      341.26604      1536.267       2714.9337     -3227.4025    
     11900   9.2312628             64   224.08714     -470.80237      9.2312628      9.2312628      9.2312628      550.20836      3214.8201      1398.2984     -2962.4934    
     12000   9.2309984             64   239.03616     -470.91447      9.2309984      9.2309984      9.2309984      640.56602      2362.6455      1248.4717     -1689.419     
     12100   9.2307359             64   234.89047     -470.85595      9.2307359      9.2307359      9.2307359      207.36973      2437.1848      528.38483     -2343.4604    
     12200   9.2304757             64   266.40925     -471.03995      9.2304757      9.2304757      9.2304757      581.10306      1769.0812      443.71917     -469.49116    
     12300   9.2302188             64   230.46526     -470.75283      9.2302188      9.2302188      9.2302188      505.21944      1627.8867      1202.7624     -1314.9907    
     12400   9.2299656             64   244.87765     -470.839        9.2299656      9.2299656      9.2299656      1195.3838      1175.2724      1464.4159      946.46293    
     12500   9.2297169             64   275.17073     -471.08761      9.2297169      9.2297169      9.2297169      1800.489       1125.3347      4051.2673      224.86487    
     12600   9.2294734             64   275.90527     -471.06035      9.2294734      9.2294734      9.2294734      1448.1646      2431.4654      988.18857      924.83984    
     12700   9.2292354             64   258.36756     -470.96701      9.2292354      9.2292354      9.2292354      707.87741      1299.9143     -785.79284      1609.5107    
     12800   9.2290032             64   223.88014     -470.69393      9.2290032      9.2290032      9.2290032      2092.9355      2312.6204      3004.9796      961.2066     
     12900   9.2287771             64   244.9134      -470.87282      9.2287771      9.2287771      9.2287771      2092.7651      2477.3548      1041.6523      2759.2882    
     13000   9.2285576             64   240.0946      -470.80056      9.2285576      9.2285576      9.2285576      2628.8822      2601.5251      2571.1287      2713.9927    
     13100   9.2283452             64   257.77098     -470.93521      9.2283452      9.2283452      9.2283452      3253.6283      3741.4648      4018.5687      2000.8515    
     13200   9.2281404             64   241.33153     -470.80338      9.2281404      9.2281404      9.2281404      3256.3007      4615.2171      3598.2203      1555.4647    
     13300   9.2279434             64   227.43769     -470.69347      9.2279434      9.2279434      9.2279434      2949.6715      4510.9863      1040.6918      3297.3363    
     13400   9.2277547             64   266.63175     -471.06963      9.2277547      9.2277547      9.2277547      3112.2703      4742.3633      2496.4223      2098.0253    
     13500   9.2275746             64   265.7385      -471.09345      9.2275746      9.2275746      9.2275746      2677.9348      2341.0476      1833.5652      3859.1917    
     13600   9.2274031             64   215.87133     -470.71145      9.2274031      9.2274031      9.2274031      3155.8809      3479.4714      4736.0453      1252.126     
     13700   9.2272403             64   235.50011     -470.85418      9.2272403      9.2272403      9.2272403      3429.468       4986.0743      3387.2133      1915.1163    
     13800   9.2270867             64   235.53653     -470.83164      9.2270867      9.2270867      9.2270867      3346.0864      2432.9237      4350.8564      3254.4791    
     13900   9.2269425             64   235.01788     -470.84099      9.2269425      9.2269425      9.2269425      3645.9658      4253.2249      1920.0143      4764.6582    
     14000   9.2268082             64   259.68139     -470.99967      9.2268082      9.2268082      9.2268082      3780.1295      3793.6418      2821.0665      4725.6802    
     14100   9.2266845             64   225.73625     -470.75689      9.2266845      9.2266845      9.2266845      3144.3855      4710.1307      2576.4883      2146.5374    
     14200   9.2265714             64   252.77796     -470.90968      9.2265714      9.2265714      9.2265714      2800.2756      5339.4992      2307.7657      753.56209    
     14300   9.2264691             64   251.20889     -470.87632      9.2264691      9.2264691      9.2264691      4598.2524      4589.8106      4746.0692      4458.8774    
     14400   9.2263784             64   242.73343     -470.84017      9.2263784      9.2263784      9.2263784      4247.7084      4566.9919      3480.4225      4695.7109    
     14500   9.2262989             64   255.78928     -470.89187      9.2262989      9.2262989      9.2262989      3930.4385      5795.1767      2419.5979      3576.5409    
     14600   9.2262311             64   275.48841     -471.02516      9.2262311      9.2262311      9.2262311      3636.5447      4999.6906      1624.6804      4285.2632    
     14700   9.2261754             64   242.05077     -470.81919      9.2261754      9.2261754      9.2261754      3626.6518      3841.899       1446.8429      5591.2133    
     14800   9.2261314             64   225.98506     -470.68832      9.2261314      9.2261314      9.2261314      4887.3226      5535.0732      3416.1859      5710.7087    
     14900   9.2260995             64   256.21025     -470.90639      9.2260995      9.2260995      9.2260995      4488.4966      5667.1283      3523.3704      4274.9912    
     15000   9.2260795             64   255.29695     -470.88734      9.2260795      9.2260795      9.2260795      3921.2211      4510.3792      2439.0131      4814.2711    
     15100   9.2260716             64   232.46193     -470.65252      9.2260716      9.2260716      9.2260716      4681.7832      4081.5613      4319.833       5643.9552    
     15200   9.226076              64   247.48651     -470.75234      9.226076       9.226076       9.226076       4424.1417      4453.5553      4747.4425      4071.4271    
     15300   9.2260929             64   240.38614     -470.64154      9.2260929      9.2260929      9.2260929      4160.4953      1240.1843      6735.2827      4506.0188    
     15400   9.2261225             64   247.54039     -470.73922      9.2261225      9.2261225      9.2261225      5124.5278      5035.2425      7258.9663      3079.3747    
     15500   9.2261648             64   273.82352     -470.99149      9.2261648      9.2261648      9.2261648      4084.4164      5180.3507      4101.1182      2971.7804    
     15600   9.2262193             64   236.95251     -470.67732      9.2262193      9.2262193      9.2262193      4506.5014      3409.2854      5303.3139      4806.9047    
     15700   9.2262861             64   204.33031     -470.40335      9.2262861      9.2262861      9.2262861      5229.9551      5377.5511      5532.1851      4780.129     
     15800   9.2263653             64   255.19147     -470.79283      9.2263653      9.2263653      9.2263653      5276.9001      5281.1376      4327.3452      6222.2175    
     15900   9.2264567             64   261.23416     -470.84352      9.2264567      9.2264567      9.2264567      3766.9723      5213.5032      1544.115       4543.2988    
     16000   9.22656               64   246.43892     -470.76876      9.22656        9.22656        9.22656        3668.1452      5911.2829      2378.0307      2715.1219    
     16100   9.2266748             64   258.73702     -470.81473      9.2266748      9.2266748      9.2266748      4198.6513      3726.1401      2135.4452      6734.3686    
     16200   9.2268013             64   236.22523     -470.57541      9.2268013      9.2268013      9.2268013      3656.3053      3779.1562      1793.1204      5396.6394    
     16300   9.2269397             64   218.33984     -470.44578      9.2269397      9.2269397      9.2269397      4510.8284      4326.711       2311.6068      6894.1673    
     16400   9.2270896             64   248.97279     -470.7071       9.2270896      9.2270896      9.2270896      4326.7831      4596.0043      1961.5742      6422.7707    
     16500   9.2272511             64   250.63719     -470.64654      9.2272511      9.2272511      9.2272511      2990.9637      2910.7242      2172.3013      3889.8656    
     16600   9.2274239             64   254.33916     -470.6485       9.2274239      9.2274239      9.2274239      4209.534       4816.314       2926.0274      4886.2607    
     16700   9.2276079             64   255.48459     -470.63767      9.2276079      9.2276079      9.2276079      4652.0359      4308.5286      4739.7323      4907.8468    
     16800   9.2278031             64   262.33745     -470.71795      9.2278031      9.2278031      9.2278031      3535.4108      2522.5462      4816.2424      3267.4438    
     16900   9.2280087             64   282.49365     -470.92308      9.2280087      9.2280087      9.2280087      3746.1777      4656.1383      2193.5603      4388.8345    
     17000   9.2282242             64   272.77978     -470.84389      9.2282242      9.2282242      9.2282242      3404.3159      4134.5365      3259.5563      2818.8549    
     17100   9.2284494             64   255.44289     -470.77978      9.2284494      9.2284494      9.2284494      2682.0122      4644.4719      1734.8243      1666.7404    
     17200   9.2286835             64   260.15998     -470.80997      9.2286835      9.2286835      9.2286835      2785.0653      3733.0625      1929.5178      2692.6154    
     17300   9.2289259             64   239.30295     -470.68356      9.2289259      9.2289259      9.2289259      2577.8174      4440.0223      1725.1         1568.3297    
     17400   9.2291761             64   224.68559     -470.5183       9.2291761      9.2291761      9.2291761      2805.9195      3417.1838      857.69698      4142.8778    
     17500   9.2294334             64   263.70657     -470.9269       9.2294334      9.2294334      9.2294334      1765.6025      2616.5492      1827.227       853.03132    
     17600   9.2296972             64   269.69016     -470.96584      9.2296972      9.2296972      9.2296972      1773.0066      2365.0186      839.97961      2114.0216    
     17700   9.2299668             64   240.17412     -470.66598      9.2299668      9.2299668      9.2299668      2483.2805     -94.356344      1494.0244      6050.1734    
     17800   9.2302423             64   213.06646     -470.45412      9.2302423      9.2302423      9.2302423      2399.4112      2595.8621      2231.5449      2370.8266    
     17900   9.2305233             64   262.63805     -470.91492      9.2305233      9.2305233      9.2305233      1125.1269     -1202.3297      929.43237      3648.2781    
     18000   9.2308089             64   263.86975     -470.93111      9.2308089      9.2308089      9.2308089      801.21756     -369.09795     -1116.6288      3889.3794    
     18100   9.2310983             64   252.74631     -470.85805      9.2310983      9.2310983      9.2310983      1482.9608      1318.4282     -255.21314      3385.6672    
     18200   9.2313913             64   239.71535     -470.69652      9.2313913      9.2313913      9.2313913      1502.6073      1147.2234      1360.5669      2000.0317    
     18300   9.2316875             64   239.84249     -470.68122      9.2316875      9.2316875      9.2316875      1270.0486      1787.4775      219.45641      1803.212     
     18400   9.231986              64   250.53082     -470.78194      9.231986       9.231986       9.231986       550.53185      464.48423     -749.76705      1936.8784    
     18500   9.2322864             64   280.29281     -470.9877       9.2322864      9.2322864      9.2322864      40.671775      331.29244     -1929.6962      1720.4191    
     18600   9.2325884             64   261.18957     -470.94043      9.2325884      9.2325884      9.2325884     -342.73792      697.27775     -3873.6915      2148.2       
     18700   9.2328909             64   236.20763     -470.76545      9.2328909      9.2328909      9.2328909      168.12055      2740.0785     -1365.0177     -870.69914    
     18800   9.2331931             64   228.33386     -470.68793      9.2331931      9.2331931      9.2331931     -328.85374     -207.21782     -661.49152     -117.85187    
     18900   9.2334947             64   244.884       -470.84164      9.2334947      9.2334947      9.2334947     -945.79085      4250.216      -4749.739      -2337.8495    
     19000   9.2337948             64   239.77217     -470.84868      9.2337948      9.2337948      9.2337948     -888.51646      1223.2266     -1260.0458     -2628.7302    
     19100   9.2340925             64   245.52335     -470.86229      9.2340925      9.2340925      9.2340925     -931.62624     -919.84595     -503.70749     -1371.3253    
     19200   9.2343875             64   211.1455      -470.59852      9.2343875      9.2343875      9.2343875     -1495.6147     -2302.6858     -1720.5187     -463.63959    
     19300   9.2346792             64   225.90773     -470.71638      9.2346792      9.2346792      9.2346792     -1498.7394     -1193.1874     -2168.0282     -1135.0027    
     19400   9.2349671             64   239.67499     -470.88451      9.2349671      9.2349671      9.2349671     -1673.6097     -1791.5731     -2411.4388     -817.81737    
     19500   9.2352502             64   252.28161     -470.9678       9.2352502      9.2352502      9.2352502     -2418.2442     -1018.3417     -5109.1393     -1127.2515    
     19600   9.235528              64   260.57443     -471.01982      9.235528       9.235528       9.235528      -2224.5658     -2064.649      -3302.9219     -1306.1264    
     19700   9.2358001             64   234.63698     -470.80603      9.2358001      9.2358001      9.2358001     -1805.8822      136.81432     -3284.8569     -2269.6039    
     19800   9.236066              64   237.3888      -470.84773      9.236066       9.236066       9.236066      -2610.378      -1996.319      -3320.1031     -2514.7119    
     19900   9.2363253             64   235.84127     -470.79049      9.2363253      9.2363253      9.2363253     -3010.0676     -3370.5094     -4585.3812     -1074.3121    
     20000   9.2365776             64   240.6674      -470.78883      9.2365776      9.2365776      9.2365776     -2989.5031     -1262.1389     -5080.2499     -2626.1203    
     20100   9.2368225             64   211.31934     -470.58943      9.2368225      9.2368225      9.2368225     -3128.6825     -1234.4802     -4973.4782     -3178.089     
     20200   9.2370594             64   206.1512      -470.47504      9.2370594      9.2370594      9.2370594     -2725.5889     -1299.3021     -5304.1968     -1573.2678    
     20300   9.2372881             64   218.77034     -470.52017      9.2372881      9.2372881      9.2372881     -2857.479      -905.96007     -3547.542      -4118.9349    
     20400   9.2375088             64   240.2739      -470.63619      9.2375088      9.2375088      9.2375088     -2684.9608      217.73739     -4328.3081     -3944.3116    
     20500   9.2377211             64   256.91688     -470.7977       9.2377211      9.2377211      9.2377211     -3321.3188     -3821.2959     -4062.8433     -2079.8172    
     20600   9.2379248             64   271.05564     -470.86732      9.2379248      9.2379248      9.2379248     -3719.633      -3897.5907     -4804.1346     -2457.1738    
